Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
27209486,Modern Lovers,Emma Straub,"Straub, Emma",,"=""159463467X""","=""9781594634673""",0,3.44,Riverhead Books,Hardcover,353,2016,2016,,2022/07/31,to-read,to-read (#38),to-read,,,,0,0
57693262,Cleopatra and Frankenstein,Coco Mellors,"Mellors, Coco",,"=""1635576814""","=""9781635576818""",0,3.96,Bloomsbury Publishing,Hardcover,384,2022,2022,,2022/07/31,to-read,to-read (#37),to-read,,,,0,0
22822858,A Little Life,Hanya Yanagihara,"Yanagihara, Hanya",,"=""""","=""""",0,4.34,Doubleday,Hardcover,720,2015,2015,,2022/07/30,to-read,to-read (#36),to-read,,,,0,0
23492661,Maybe in Another Life,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""""","=""""",3,3.81,Washington Square Press,Paperback,342,2015,2015,2022/06/26,2022/04/28,,,read,,,,1,0
673959,Let It Rain Coffee,Angie Cruz,"Cruz, Angie",,"=""0743212045""","=""9780743212045""",0,3.79,Simon  Schuster,Paperback,304,2006,2005,,2022/06/25,to-read,to-read (#35),to-read,,,,0,0
61577,Soledad,Angie Cruz,"Cruz, Angie",,"=""0743212029""","=""9780743212021""",0,3.81,Simon  Schuster,Paperback,240,2002,2001,,2022/06/25,to-read,to-read (#34),to-read,,,,0,0
43263696,Dominicana,Angie Cruz,"Cruz, Angie",,"=""125020593X""","=""9781250205933""",0,4.12,Flatiron Books,Hardcover,323,2019,2019,,2022/06/25,to-read,to-read (#33),to-read,,,,0,0
60874073,Bomba de humo,Laura Santolaya,"Santolaya, Laura",,"=""849129600X""","=""9788491296003""",0,3.42,Suma,Paperback,368,2022,2022,,2022/06/23,to-read,to-read (#32),to-read,,,,0,0
36348525,Severance,Ling  Ma,"Ma, Ling",,"=""0374261598""","=""9780374261597""",0,3.92,"Farrar, Straus and Giroux",Hardcover,291,2018,2018,,2022/06/22,to-read,to-read (#31),to-read,,,,0,0
52873922,Winter in Sokcho,Elisa Shua Dusapin,"Dusapin, Elisa Shua",Aneesa Higgins,"=""1911547542""","=""9781911547549""",0,3.61,Daunt Books Publishing,Paperback,154,2020,2016,,2022/06/22,to-read,to-read (#30),to-read,,,,0,0
10116463,Gog,Giovanni Papini,"Papini, Giovanni",Fikret Adil,"=""""","=""""",0,4.18,İş Bankası Kültür Yayınları,Paperback,386,1958,1931,,2022/06/20,to-read,to-read (#29),to-read,,,,0,0
58690308,Book Lovers,Emily Henry,"Henry, Emily",,"=""""","=""""",3,4.23,Berkley,Hardcover,377,2022,2022,2022/06/13,2022/05/03,,,read,,,,1,0
44421460,Before the Coffee Gets Cold,Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,"=""1529029589""","=""9781529029581""",0,3.75,Picador,Paperback,213,2019,2015,,2022/06/02,to-read,to-read (#28),to-read,,,,0,0
18774964,A Man Called Ove,Fredrik Backman,"Backman, Fredrik",Henning Koch,"=""1476738017""","=""9781476738017""",0,4.37,Atria Books,Hardcover,337,2014,2012,,2022/06/01,to-read,to-read (#27),to-read,,,,0,0
49259788,The Summer of Broken Rules,K.L. Walther,"Walther, K.L.",,"=""1728210291""","=""9781728210292""",0,4.05,Sourcebooks Fire,Hardcover,386,2021,2021,,2022/06/01,to-read,to-read (#26),to-read,,,,0,0
19343332,La reina de las lavanderas,Carmen Gallardo,"Gallardo, Carmen",,"=""""","=""""",0,4.17,La Esfera de los Libros,Kindle Edition,432,2012,2012,,2022/05/23,to-read,to-read (#25),to-read,,,,0,0
45553600,Second First Impressions,Sally  Thorne,"Thorne, Sally",,"=""0063007134""","=""9780063007130""",3,3.58,William Morrow,Hardcover,352,2021,2021,2022/05/23,2022/02/28,,,read,,,,1,0
92624,"La costa más lejana (Historias de Terramar, #3)",Ursula K. Le Guin,"Guin, Ursula K. Le",Matilde Horne,"=""8445075314""","=""9788445075319""",0,4.12,Minotauro,Paperback,248,2004,1972,,2022/02/06,to-read,to-read (#24),to-read,,,,0,0
56918758,"Promesa de Sangre (Magos de la Pólvora, #1)",Brian  McClellan,"McClellan, Brian",Federico Cristante,"=""8412299221""","=""9788412299229""",0,4.14,Gamon,Hardcover,564,2021,2013,,2022/05/10,to-read,to-read (#23),to-read,,,,0,0
11513560,"Hiperion (Hyperion, #1)",Dan Simmons,"Simmons, Dan",Goran Skrobonja,"=""8674362443""","=""9788674362440""",0,4.25,Laguna,Paperback,436,2005,1989,,2022/05/09,to-read,to-read (#22),to-read,,,,0,0
59211749,La moda justa: Una invitación a vestir con ética,Marta D. Riezu,"Riezu, Marta D.",,"=""8433916572""","=""9788433916570""",0,4.19,Anagrama,Paperback,96,2021,2021,,2022/05/03,to-read,to-read (#21),to-read,,,,0,0
